epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1694.28,0.81707,1.39537,0.9116,0.25737,0.10773,0.07261,0.05605,1.07717,3.33659,1.17837,3.55368e-05,3.55368e-05,3.55368e-05
80,1715.41,0.78692,1.39166,0.90479,0.28661,0.09251,0.07332,0.05692,1.08041,3.33136,1.17833,3.39924e-05,3.39924e-05,3.39924e-05
81,1736.78,0.79692,1.38493,0.91515,0.25713,0.11663,0.07783,0.06103,1.07845,3.34625,1.17914,3.2448e-05,3.2448e-05,3.2448e-05
82,1757.88,0.77535,1.33406,0.90413,0.27754,0.12113,0.07237,0.05706,1.0636,3.36489,1.16392,3.09036e-05,3.09036e-05,3.09036e-05
83,1779.26,0.7932,1.36821,0.90968,0.29462,0.10701,0.07339,0.05723,1.06197,3.34269,1.1671,2.93592e-05,2.93592e-05,2.93592e-05
84,1800.73,0.78698,1.34715,0.91057,0.27602,0.11189,0.07694,0.0604,1.05851,3.37284,1.16868,2.78148e-05,2.78148e-05,2.78148e-05
85,1821.86,0.80633,1.34516,0.91104,0.24787,0.12645,0.0851,0.06824,1.07069,3.3467,1.17327,2.62704e-05,2.62704e-05,2.62704e-05
86,1843.17,0.77502,1.3189,0.89755,0.22919,0.12983,0.08818,0.07075,1.07315,3.35148,1.17747,2.4726e-05,2.4726e-05,2.4726e-05
87,1864.82,0.7897,1.33217,0.91,0.2594,0.13346,0.08592,0.06902,1.06916,3.37265,1.17528,2.31816e-05,2.31816e-05,2.31816e-05
88,1885.81,0.77052,1.30874,0.90488,0.25986,0.1078,0.0786,0.0623,1.06604,3.35566,1.17279,2.16372e-05,2.16372e-05,2.16372e-05
89,1907.06,0.80461,1.36306,0.91143,0.21818,0.11698,0.07614,0.06084,1.06667,3.36522,1.17403,2.00928e-05,2.00928e-05,2.00928e-05
90,1928.15,0.78879,1.37028,0.90173,0.25464,0.12144,0.07881,0.06286,1.06898,3.34971,1.17324,1.85484e-05,1.85484e-05,1.85484e-05
91,2022.75,0.78503,1.50601,0.89438,0.17982,0.11535,0.06698,0.05179,1.10373,3.43506,1.19752,1.7004e-05,1.7004e-05,1.7004e-05
92,2046.19,0.7667,1.43509,0.89267,0.21809,0.12587,0.07141,0.05595,1.08799,3.39116,1.18876,1.54596e-05,1.54596e-05,1.54596e-05
93,2067.95,0.75217,1.36975,0.89261,0.25074,0.11379,0.07233,0.05759,1.08109,3.39457,1.18134,1.39152e-05,1.39152e-05,1.39152e-05
94,2088.16,0.76415,1.37851,0.89489,0.24739,0.12447,0.0733,0.05814,1.07399,3.40735,1.18031,1.23708e-05,1.23708e-05,1.23708e-05
95,2109.27,0.74363,1.35252,0.88388,0.22522,0.1308,0.07605,0.06023,1.08895,3.40361,1.19103,1.08264e-05,1.08264e-05,1.08264e-05
96,2130.44,0.7607,1.34393,0.88628,0.2551,0.1092,0.07395,0.05861,1.08343,3.40168,1.1869,9.282e-06,9.282e-06,9.282e-06
97,2151.85,0.74411,1.32587,0.89176,0.25161,0.11503,0.074,0.05902,1.08072,3.39254,1.181,7.7376e-06,7.7376e-06,7.7376e-06
98,2172.54,0.74332,1.30939,0.88529,0.33872,0.08957,0.07425,0.05885,1.08674,3.40185,1.18545,6.1932e-06,6.1932e-06,6.1932e-06
99,2194.19,0.75239,1.32762,0.88566,0.36641,0.08373,0.07606,0.0605,1.07662,3.38448,1.17804,4.6488e-06,4.6488e-06,4.6488e-06
100,2215.4,0.76055,1.32832,0.89188,0.25927,0.12361,0.07587,0.05964,1.08117,3.39413,1.18467,3.1044e-06,3.1044e-06,3.1044e-06
