epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1368.2,0.73979,0.91483,0.88773,0.16563,0.13251,0.08493,0.06974,1.12428,3.6973,1.21112,6.17916e-05,6.17916e-05,6.17916e-05
63,1389.32,0.72913,0.90451,0.88589,0.21665,0.13762,0.081,0.06557,1.13907,3.67351,1.21936,6.02472e-05,6.02472e-05,6.02472e-05
64,1418.82,0.72145,0.87442,0.8737,0.19198,0.12924,0.08735,0.06937,1.13868,3.67984,1.22944,5.87028e-05,5.87028e-05,5.87028e-05
65,1441.11,0.71952,0.89737,0.87529,0.18929,0.12764,0.08304,0.06713,1.15158,3.66082,1.22373,5.71584e-05,5.71584e-05,5.71584e-05
66,1462.84,0.70382,0.87047,0.87978,0.20565,0.12439,0.08558,0.06905,1.13187,3.69615,1.21176,5.5614e-05,5.5614e-05,5.5614e-05
67,1490.08,0.70852,0.87312,0.88652,0.25477,0.12976,0.08655,0.06951,1.12904,3.70234,1.21516,5.40696e-05,5.40696e-05,5.40696e-05
68,1515.9,0.72171,0.87147,0.87939,0.19543,0.12096,0.08008,0.06304,1.13654,3.66778,1.22141,5.25252e-05,5.25252e-05,5.25252e-05
69,1537.86,0.72867,0.87891,0.87159,0.21822,0.13092,0.08365,0.06836,1.11807,3.66272,1.20862,5.09808e-05,5.09808e-05,5.09808e-05
70,1559.2,0.7015,0.87251,0.87949,0.20583,0.12651,0.08017,0.0653,1.12926,3.7058,1.21591,4.94364e-05,4.94364e-05,4.94364e-05
71,1580.84,0.70276,0.84741,0.87852,0.2168,0.1244,0.08419,0.06869,1.13436,3.66581,1.22196,4.7892e-05,4.7892e-05,4.7892e-05
72,1601.98,0.72218,0.85846,0.88063,0.17904,0.10181,0.07945,0.06462,1.12846,3.70722,1.22063,4.63476e-05,4.63476e-05,4.63476e-05
73,1622.99,0.72502,0.86065,0.87759,0.13761,0.12325,0.0837,0.06838,1.12655,3.67091,1.21743,4.48032e-05,4.48032e-05,4.48032e-05
74,1644.57,0.70123,0.85495,0.87918,0.15238,0.11822,0.07936,0.06534,1.11528,3.72881,1.20123,4.32588e-05,4.32588e-05,4.32588e-05
75,1665.86,0.7079,0.86254,0.87611,0.19347,0.1074,0.0811,0.06577,1.13289,3.75821,1.21019,4.17144e-05,4.17144e-05,4.17144e-05
